methods,Accuracy,Precision,Recall ,Sensitivity,Specificity,F1 Score,TN,FN,FP,TP,
NN_LSTM,0.9765,0.6321,0.8461,0.8461,0.9814,0.7236,1692,10,32,55,
NN_LSTM,0.9753,0.5697,0.875,0.875,0.978,0.6901,1694,7,37,49,
NN_LSTM,0.9725,0.4942,0.8958,0.8958,0.9747,0.637,1696,5,44,43,
NN_LSTM,0.967,0.453,0.764,0.764,0.9729,0.5693,1690,12,47,39,
NN_LSTM,0.9809,0.6395,0.9482,0.9482,0.982,0.7638,1698,3,31,55,
NN_LSTM,0.9714,0.4252,0.9736,0.9736,0.97144,0.592,1701,1,50,37,
NN_LSTM,0.968,0.62,0.6923,0.6923,0.9807,0.6545,1678,24,33,54,
NN_LSTM,0.9742,0.5977,0.8253,0.8253,0.9797,0.6933,1690,11,35,52,
NN_LSTM,0.9714,0.651,0.7272,0.7272,0.9824,0.6871,1680,21,30,56,
NN_LSTM,0.9742,0.6781,0.7662,0.7662,0.9836,0.7195,1683,18,28,59,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
